Index;Year;Title;Pages;Link;Folder;Downloaded;Autor;publikationsdatum;Reisedaten;gesamtseitenzahl;Digitalisat;Zitierfähige URL
68;1791;Briefe einer Curländerinn auf einer Reise durch Deutschland;Seite(n)62-66;https://www.digitale-sammlungen.de/de/view/bsb00075072?q=%28Briefe+einer+Curl%C3%A4nderinn+Auf+einer+Reise+durch+Deutschland,+Zwei+Theile,+Bd.%3A%29&page=74,75;068_1791_Briefe_einer_Curländerinn_auf_einer_Reise_durch_Deutschland;;Sophie Schwarz;1791;Kein Eintrag vorhanden;175;BSB München;https://reise.isgv.de/logs/Q109944081
72;1793;Briefe eines reisenden Dänen. Geschrieben im Jahre 1791 und 1792 während seiner Reise durch einen Theil Deutschlands, der Schweiz und Frankreichs;Seite(n)62-63;https://www.digitale-sammlungen.de/de/view/bsb10468214?page=70;072_1793_Briefe_eines_reisenden_Dänen._Geschrieben_im_Jahre_1791_und_1792_während_seiner_Reise_durch_einen_Th;;Frederik Sneedorff;1793;1791 bis 1792;360;BSB München;https://reise.isgv.de/logs/Q109944088
73;1793;Briefe eines reisenden Dänen. Geschrieben im Jahre 1791 und 1792 während seiner Reise durch einen Theil Deutschlands, der Schweiz und Frankreichs;Seite(n)58-60;https://www.digitale-sammlungen.de/de/view/bsb10468214?page=66;073_1793_Briefe_eines_reisenden_Dänen._Geschrieben_im_Jahre_1791_und_1792_während_seiner_Reise_durch_einen_Th;;Frederik Sneedorff;1793;1791 bis 1792;360;BSB München;https://reise.isgv.de/logs/Q109944088
74;1793;Briefe eines reisenden Dänen. Geschrieben im Jahre 1791 und 1792 während seiner Reise durch einen Theil Deutschlands, der Schweiz und Frankreichs;Seite(n)30;https://www.digitale-sammlungen.de/de/view/bsb10468214?page=38;074_1793_Briefe_eines_reisenden_Dänen._Geschrieben_im_Jahre_1791_und_1792_während_seiner_Reise_durch_einen_Th;;Frederik Sneedorff;1793;1791 bis 1792;360;BSB München;https://reise.isgv.de/logs/Q109944088
75;1793;Briefe auf einer Reise durch Deutschland im Jahre 1791;Seite(n)197-201;https://www.digitale-sammlungen.de/de/view/bsb11095835?page=215;075_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791;;Karl Martin Plümicke;1793;1791;444;BSB München;https://reise.isgv.de/logs/Q109944045
76;1793;Briefe auf einer Reise durch Deutschland im Jahre 1791;Seite(n)154-197;https://www.digitale-sammlungen.de/de/view/bsb11095835?page=172;076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791;;Karl Martin Plümicke;1793;1791;444;BSB München;https://reise.isgv.de/logs/Q109944045
80;1794;Reise in Deutschland, der Schweiz, Italien und Sicilien;Seite(n)398;https://www.digitale-sammlungen.de/de/view/bsb10468286?page=402;080_1794_Reise_in_Deutschland,_der_Schweiz,_Italien_und_Sicilien;;Friedrich Leopold Graf zu Stolberg;1794;1792;398;BSB München;https://reise.isgv.de/logs/Q109944095
81;1795;Kleine Wanderungen durch Sachsen und Brandenburg;Seite(n)66-102;https://digital.slub-dresden.de/werkansicht/dlf/69234/82;081_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg;;Kein Eintrag vorhanden;1795;Kein Eintrag vorhanden;435;SLUB Dresden;https://reise.isgv.de/logs/Q109944170
82;1795;Kleine Wanderungen durch Sachsen und Brandenburg;Seite(n)23-48;https://digital.slub-dresden.de/werkansicht/dlf/69234/39;082_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg;;Kein Eintrag vorhanden;1795;Kein Eintrag vorhanden;435;SLUB Dresden;https://reise.isgv.de/logs/Q109944170
87;1795;Hans Kiekindiewelts Reisen in alle vier Weltteile und andere Schriften;Seite(n)166-229;https://digital.slub-dresden.de/werkansicht/dlf/55979/172;087_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften;;Georg Friedrich Rebmann;1795;Kein Eintrag vorhanden;254;SLUB Dresden;https://reise.isgv.de/logs/Q109944053
88;1795;Hans Kiekindiewelts Reisen in alle vier Weltteile und andere Schriften;Seite(n)130-166;https://digital.slub-dresden.de/werkansicht/dlf/55979/136;088_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften;;Georg Friedrich Rebmann;1795;Kein Eintrag vorhanden;254;SLUB Dresden;https://reise.isgv.de/logs/Q109944053
90;1795;Wanderungen und Kreuzzüge durch einen Theil Deutschlands;Seite(n)176-266;https://www.digitale-sammlungen.de/de/view/bsb10469118?page=176;090_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands;;Georg Friedrich Rebmann;1795;Kein Eintrag vorhanden;270;BSB München;https://reise.isgv.de/logs/Q109944052
91;1795;Wanderungen und Kreuzzüge durch einen Theil Deutschlands;Seite(n)141-169;https://www.digitale-sammlungen.de/de/view/bsb10469118?page=141;091_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands;;Georg Friedrich Rebmann;1795;Kein Eintrag vorhanden;270;BSB München;https://reise.isgv.de/logs/Q109944052
92;1795;Wanderungen und Kreuzzüge durch einen Theil Deutschlands;Seite(n)138-141;https://www.digitale-sammlungen.de/de/view/bsb10469118?page=138;092_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands;;Georg Friedrich Rebmann;1795;Kein Eintrag vorhanden;270;BSB München;https://reise.isgv.de/logs/Q109944052
93;1795;Bemerkungen auf einer Reise von Kopenhagen nach Wien im Jahr 1793;Seite(n)54-66;https://www.digitale-sammlungen.de/de/view/bsb10468856?page=58;093_1795_Bemerkungen_auf_einer_Reise_von_Kopenhagen_nach_Wien_im_Jahr_1793;;Emanuel Bozenhard;1795;1793;184;BSB München;https://reise.isgv.de/logs/Q109943926
95;1796;Reisen durch Deutschland, Frankreich, England und Holland in verschiedener, besonders politischer Hinsicht;Seite(n)207-214;https://www.digitale-sammlungen.de/de/view/bsb11249684?page=213;095_1796_Reisen_durch_Deutschland,_Frankreich,_England_und_Holland_in_verschiedener,_besonders_politischer_Hi;;Andreas Riem;1796;1785 bis 1798;286;BSB München;https://reise.isgv.de/logs/Q109944060
96;1796;Reisen durch Deutschland, Frankreich, England und Holland in verschiedener, besonders politischer Hinsicht;Seite(n)154-155;https://www.digitale-sammlungen.de/de/view/bsb11249684?page=160;096_1796_Reisen_durch_Deutschland,_Frankreich,_England_und_Holland_in_verschiedener,_besonders_politischer_Hi;;Andreas Riem;1796;1785 bis 1798;286;BSB München;https://reise.isgv.de/logs/Q109944060
97;1796;Wanderungen durch die Niederlande, Deutschland, die Schweiz und Italien 1793 und 1794;Seite(n)499-502;https://www.digitale-sammlungen.de/de/view/bsb10467215?page=519;097_1796_Wanderungen_durch_die_Niederlande,_Deutschland,_die_Schweiz_und_Italien_1793_und_1794;;Carl Gottlob Küttner;1796;1793 bis 1794;572;BSB München;https://reise.isgv.de/logs/Q109944009
