Name;Autor;publikationsdatum;Reisedaten;gesamtseitenzahl;Digitalisat;Zitierfähige URL
Wanderungen in Sachsen, Schlesien, Glatz und Böhmen;Christian Weiß;1796;1796 bis 1797;271;ULB Münster;https://reise.isgv.de/logs/Q109944107
Reisen durch Deutschland, Frankreich, England und Holland in verschiedener, besonders politischer Hinsicht;Andreas Riem;1796;1785 bis 1798;286;BSB München;https://reise.isgv.de/logs/Q109944060
Reisen durch Deutschland, Frankreich, England und Holland in verschiedener, besonders politischer Hinsicht;Andreas Riem;1796;1785 bis 1798;286;BSB München;https://reise.isgv.de/logs/Q109944060
Wanderungen durch die Niederlande, Deutschland, die Schweiz und Italien 1793 und 1794;Carl Gottlob Küttner;1796;1793 bis 1794;572;BSB München;https://reise.isgv.de/logs/Q109944009
Reisen und merkwürdige Nachrichten zweier Neufranken durch Deutschland, Rußland, Polen und die Oesterreichischen Staaten während des jetzigen wichtigen Krieges;Kein Eintrag vorhanden;1797;Kein Eintrag vorhanden;316;BSB München;https://reise.isgv.de/logs/Q109944161
Erzählungen von einer Reise durch einen großen Theil Deutschlands und der Schweiz, im Jahre 1796;Friedrich Philipp Wilmsen;1798;1796;376;BSB München;https://reise.isgv.de/logs/Q109944115
Erzählungen von einer Reise durch einen großen Theil Deutschlands und der Schweiz, im Jahre 1796;Friedrich Philipp Wilmsen;1798;1796;376;BSB München;https://reise.isgv.de/logs/Q109944115
Meine Reise in das Sächsische Erzgebirge im Monath August 1798;Carl Friedrich Wilhelm August Vater;1798;1798;39;SLUB Dresden;https://reise.isgv.de/logs/Q109944103
Meine Reise in das Sächsische Erzgebirge im Monath August 1798;Carl Friedrich Wilhelm August Vater;1798;1798;39;SLUB Dresden;https://reise.isgv.de/logs/Q109944103
Peregrinationen;Jacob Pickhart;1798;Kein Eintrag vorhanden;414;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944042
Reisen nach und in der Oberlausitz;Gottfried Benjamin Meissner;1798;1795;258;BSB München;https://reise.isgv.de/logs/Q109944032
Reisen nach und in der Oberlausitz;Gottfried Benjamin Meissner;1798;1795;258;BSB München;https://reise.isgv.de/logs/Q109944032
Gemälde über die Ober-Lausitz. Gesammelt auf einer kleinen Fußreise;Gottfried Benjamin Meissner;1798;1795;258;SLUB Dresden;https://reise.isgv.de/logs/Q109944031
Gemälde über die Ober-Lausitz. Gesammelt auf einer kleinen Fußreise;Gottfried Benjamin Meissner;1798;1795;258;SLUB Dresden;https://reise.isgv.de/logs/Q109944031
Fußreise von Dresden nach den zwei verfallenen Bergschlössern, die Rathen, und die dortige Gegend;Gottfried Benjamin Meissner;1798;Kein Eintrag vorhanden;48;BSB München;https://reise.isgv.de/logs/Q109944030
Eine kleine Fußreise von Dresden nach Pirna. An Herrn J. Hermsdorf in Görlitz;Gottfried Benjamin Meissner;1798;Kein Eintrag vorhanden;42;BSB München;https://reise.isgv.de/logs/Q109944029
Eine kleine Fußreise von Dresden nach Pirna. An Herrn J. Hermsdorf in Görlitz;Gottfried Benjamin Meissner;1798;Kein Eintrag vorhanden;42;BSB München;https://reise.isgv.de/logs/Q109944029
Neue Ansicht von Dresden. Für Reisende von einem Reisenden;Kein Eintrag vorhanden;1799;Kein Eintrag vorhanden;218;SLUB Dresden;https://reise.isgv.de/logs/Q109944122
Briefe eines reisenden Russen;Nikolai Michailowitsch Karamsin;1799;Kein Eintrag vorhanden;216;BSB München;https://reise.isgv.de/logs/Q109943994
Meine Reise im deutschen Vaterlande, aus Thüringen ins Riesengebürge zu den Elbquellen und durch Böhmen ins Erzgebürge;Johann Christoph Friedrich GutsMuths;1799;Kein Eintrag vorhanden;260;SLUB Dresden;https://reise.isgv.de/logs/Q109943978
Meine Reise im deutschen Vaterlande, aus Thüringen ins Riesengebürge zu den Elbquellen und durch Böhmen ins Erzgebürge;Johann Christoph Friedrich GutsMuths;1799;Kein Eintrag vorhanden;260;SLUB Dresden;https://reise.isgv.de/logs/Q109943978
Meine Reise im deutschen Vaterlande, aus Thüringen ins Riesengebürge zu den Elbquellen und durch Böhmen ins Erzgebürge;Johann Christoph Friedrich GutsMuths;1799;Kein Eintrag vorhanden;260;SLUB Dresden;https://reise.isgv.de/logs/Q109943978
Beschreibung einer Wasserreise von Außig nach Dresden;Esther Domeier;1799;Kein Eintrag vorhanden;21;UB Bielefeld;https://reise.isgv.de/logs/Q109943940
