Index;Year;Title;Pages;Link;Folder;Downloaded
92;1795;Wanderungen und Kreuzzüge durch einen Theil Deutschlands;Seite(n)138-141;https://www.digitale-sammlungen.de/de/view/bsb10469118?page=138;092_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands;
93;1795;Bemerkungen auf einer Reise von Kopenhagen nach Wien im Jahr 1793;Seite(n)54-66;https://www.digitale-sammlungen.de/de/view/bsb10468856?page=58;093_1795_Bemerkungen_auf_einer_Reise_von_Kopenhagen_nach_Wien_im_Jahr_1793;
94;1796;Wanderungen in Sachsen, Schlesien, Glatz und Böhmen;Seite(n)4-5;https://sammlungen.ulb.uni-muenster.de/hd/content/pageview/489974;094_1796_Wanderungen_in_Sachsen,_Schlesien,_Glatz_und_Böhmen;
95;1796;Reisen durch Deutschland, Frankreich, England und Holland in verschiedener, besonders politischer Hinsicht;Seite(n)207-214;https://www.digitale-sammlungen.de/de/view/bsb11249684?page=213;095_1796_Reisen_durch_Deutschland,_Frankreich,_England_und_Holland_in_verschiedener,_besonders_politischer_Hi;
96;1796;Reisen durch Deutschland, Frankreich, England und Holland in verschiedener, besonders politischer Hinsicht;Seite(n)154-155;https://www.digitale-sammlungen.de/de/view/bsb11249684?page=160;096_1796_Reisen_durch_Deutschland,_Frankreich,_England_und_Holland_in_verschiedener,_besonders_politischer_Hi;
97;1796;Wanderungen durch die Niederlande, Deutschland, die Schweiz und Italien 1793 und 1794;Seite(n)499-502;https://www.digitale-sammlungen.de/de/view/bsb10467215?page=519;097_1796_Wanderungen_durch_die_Niederlande,_Deutschland,_die_Schweiz_und_Italien_1793_und_1794;
98;1797;Reisen und merkwürdige Nachrichten zweier Neufranken durch Deutschland, Rußland, Polen und die Oesterreichischen Staaten während des jetzigen wichtigen Krieges;Seite(n)30-53;https://www.digitale-sammlungen.de/de/view/bsb10469984?page=36;098_1797_Reisen_und_merkwürdige_Nachrichten_zweier_Neufranken_durch_Deutschland,_Rußland,_Polen_und_die_Oeste;
99;1798;Erzählungen von einer Reise durch einen großen Theil Deutschlands und der Schweiz, im Jahre 1796;Seite(n)54-67;https://www.digitale-sammlungen.de/de/view/bsb11095854?page=68;099_1798_Erzählungen_von_einer_Reise_durch_einen_großen_Theil_Deutschlands_und_der_Schweiz,_im_Jahre_1796;
100;1798;Erzählungen von einer Reise durch einen großen Theil Deutschlands und der Schweiz, im Jahre 1796;Seite(n)17-44;https://www.digitale-sammlungen.de/de/view/bsb11095854?page=31;100_1798_Erzählungen_von_einer_Reise_durch_einen_großen_Theil_Deutschlands_und_der_Schweiz,_im_Jahre_1796;
101;1798;Meine Reise in das Sächsische Erzgebirge im Monath August 1798;Seite(n)36;https://digital.slub-dresden.de/werkansicht/dlf/78092/40;101_1798_Meine_Reise_in_das_Sächsische_Erzgebirge_im_Monath_August_1798;
